Title,Latitude,Longtitude,Khu vực,Diện tích,Giá/m2,Giá,Hướng Cửa,Loại Hình,Nội Dung,Giấy Tờ Pháp Lý,Thời Gian
Quỹ căn góc độc quyền - Shophouse Rue de Charme đẹp nhất,105.7801644,105.8360327,"Thanh Trì, Hà Nội",124 m²,36.21 tr/m²,Giá thỏa thuận,Tây Nam,nhà mặt phố,"Quỹ căn GÓC độc quyền - Shophouse Rue de Charme đẹp nhất, dự án sở hữu phố đi bộ Carnaby 214 sôi động nhất quận Thanh Xuân hiện nay.- Chỉ từ 9.9 tỷ (30%) sở hữu ngay lô shophouse cuối cùng: Đừng bỏ lỡ cơ hội vàng! - Vị trí đỉnh cao: Ngay tại khu trung tâm sầm uất - tiềm năng tăng giá ngay sau khi mua. - Đầu tư an toàn: Lợi nhuận ổn định từ kinh doanh và tăng giá BĐS, sổ đỏ cầm tay. - Ưu đãi siêu hấp dẫn: Chiết khấu khủng lên đến 5,5% giá trị căn ...",Đã có sổ,19/10/2023
"Shophouse chân đế toà Golden Field Mỹ Đình, mặt phố Hàm Nghi, có sổ đỏ, đang cho thuê 1,6 tỷ/năm",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",50 m²,40 tr/m²,2 tỷ,Tây Bắc,nhà riêng,"Chủ đầu tư mở bán quỹ căn sàn thương mại & văn phòng toà Golden Field Mỹ Đình: - Vị trí ngã tư đường lớn, Hàm Nghi - Nguyễn Cơ Thạch, khu vực đông dân cư. - Có sẵn sổ đỏ.1, Shophouse tầng 1. - Diện tích: 289 - 419m². - Giá bán từ 24 tỷ. - Hiện đang cho thuê dài hạn: 1,2-1,6 tỷ/năm tuỳ vị trí (thương hiệu Starbuck, Pizza Company, Canifa, Bibomart,... ). - Giá cho thuê tăng 10%/năm (quy định trong hợp đồng cho thuê).2, Sàn văn phòng tầng 5 - 7. - D...",Đã có sổ,19/10/2023
Bán Shophouse mặt sảnh toà căn hộ hạng sang Masteri LH 0948 114 ***,21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",75 m²,200 tr/m²,15 tỷ,Tây Nam,căn hộ chung cư,Vị trí căn góc. Mặt sảnh toà chung cư với hàng ngàn căn hộ. View công viên. Kinh doanh đa dạng mặt hàng. Dt 75m². LH: 0948 114 ***,Đã có sổ,19/10/2023
Bán shophouse Sao Biển 01 mặt đường 52m full nội thất siêu đẹp,21.0398766,105.9511964,"Gia Lâm, Hà Nội",70 m²,"254,29 tr/m²","17,8 tỷ",Tây Nam,căn hộ chung cư,"Bán căn shophouse, sổ đỏ lâu dài. - Vị trí: Nằm trên trục đường 52m, vị trí đắc địa của dự án, khu phố kinh doanh sầm uất, gần chung cư, thuận lợi buôn bán kinh doanh. - DT đất 70 m², DT xây dựng 1 sàn 61m², 4,5 tầng. - Shophouse vừa ở, vừa kinh doanh. - Full nội thất rất đẹp, khách mua chỉ việc xách quần áo về ở và kinh doanh. - Tầng 1 thông sàn, - Tầng 2 phòng khách + phòng bếp. - Tầng 3 hai phòng ngủ. - Tầng 4 phòng ngủ master. - Tầng 5 phòng ...",Đã có sổ,19/10/2023
"Chính chủ bán gấp 61m2 sàn thương mại tầng 1 toà DV02, dự án Rose Town, 79 Ngọc Hồi, Hoàng Mai",20.9757581,105.8626556,"Hoàng Mai, Hà Nội",61 m²,"70,49 tr/m²","4,3 tỷ",Đông,nhà riêng,"Bàn giao mặt bằng: Bàn giao luôn mặt bằng kinh doanh. Trang thiết bị: Có sẵn điều hoà, trần thạch cao, đèn chiếu sáng kinh doanh được ngay. Loại hình kinh doanh: Phù hợp với mọi loại hình kinh doanh: Văn phòng, cửa hàng, spa, ăn nhanh... Tiềm năng khu vực: Dự án gồm 6 tòa cao tầng với hơn 1.000 căn hộ chung cư để ở, 01 tòa văn phòng cao 25 tầng, 1 tòa căn hộ kết hợp du lịch dịch vụ, 48 lô liền kề biệt thự (khoảng 4.000 đến 5.000 cư dân) + Khu mở ...",Đã có sổ,19/10/2023
"Sẵn sổ đỏ, bán nhanh shop khối đế chung cư Golden Field Mỹ Đình, giá cực rẻ chỉ từ 42tr/m2",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",87 m²,"42,53 tr/m²","3,7 tỷ",Đông,căn hộ chung cư,"Quỹ căn cuối cùng sàn thương mại & văn phòng toà Golden Field Mỹ Đình: - Vị trí đắc địa: Ngã tư đường lớn, Hàm Nghi - Nguyễn Cơ Thạch, khu vực cực kì đông dân cư. - Pháp lý rõ ràng: Có sổ đỏ. - Sẵn hợp đồng thuê, mua nhận dòng tiền ngay. - Đầu tư cho thuê dài hạn lợi nhuận lên đến 8%/ năm.Đa dạng diện tích: 50 - 70 - 80 - 100m. - Tổng tiền nhỏ chỉ từ: 3 - 4 tỷ. - Hiện đang cho thuê 150 - 300 triệu/năm.Gần các chung cư cao cấp: The Zei, Vinhomes G...",Đã có sổ,19/10/2023
"Bán căn vip 2 mặt tiền đường 30m vỉa hè 7.5m tại Thanh Xuân, hàng F0 dư địa tăng giá tốt sổ lâu dài",105.7801644,105.8360327,"Thanh Trì, Hà Nội",124 m²,"209,68 tr/m²",26 tỷ,Đông Bắc,nhà mặt phố,"Mở bán căn góc tại dự án Rue De Charme Nguyễn Xiển, Thanh Xuân, 26 tỷ - shopvilla 420m² - 5 tầng 3 mặt thoáng - sân vườn hồ cá Koi lên đến 40m².Shophouse ngã 3 phố đi bộ, diện tích 163,95m², mặt tiền 11,29m. - Giá bán.- Bộ 3 căn góc ngã tư đường Lương Thế Vinh kéo dài rộng 30m - diện tích 115,43m² - 114,11m² - 180,47m². - Giá bán.Shophouse áp góc, sát đường trục chính. Diện tích 93m². Mặt tiền 6m. - Giá bán.- Cặp shopvilla có sân vườn 3 mặt thoán...",Đã có sổ,19/10/2023
"Chính chủ bán shophouse An Lạc Symphony giá rẻ nhất mặt trục chính đường vành đai 3,5 Lê Trọng Tấn",21.0229169,105.7034832,"Hoài Đức, Hà Nội",280 m²,135 tr/m²,"37,8 tỷ",Tây Bắc,nhà riêng,"CHính chủ có lô shophouse mặt đường vành đai 3.5 Lê Trọng Tấn cần bán. Lô shophouse là biệt thự của dự án An Lạc Symphony, tên cũ là đại học Vân Canh. Diện tích 280m². Mặt tiền 21m. Đang xây thô. Tiến độ xây dựng nhanh, nhận nhà là có sổ. Hiện trạng đang là hợp đồng mua bán. Giá bán chỉ 135tr/m². Tiền xây nộp theo tiến độ chủ đầu tư. Quý anh chị nào đầu tư lô này là thắng. Giá siêu hợp lý cho lô biệt thự xây sẵn. Xung quanh mặt đường vành đai 3,5...",Đã có sổ,19/10/2023
"Ban quản lý bán sàn văn phòng tòa PC1, 44 Triều Khúc, Thanh Xuân, Hà Nội 0941 729 ***",20.9944171,105.8171316,"Thanh Xuân, Hà Nội","511,3 m²",46 tr/m²,"23,52 tỷ",Tây Bắc,căn hộ chung cư,"Ban quản lý bán sàn văn phòng tầng 2,3 và shop tầng 1 tòa PC1, 44 Triều Khúc, Thanh Xuân: - Diện tích đa dạng: 69m², 137m², 172 m², 200m² và hơn 500m². - Vị trí tầng 1,2,3 toà chung cư PC1, 44 Triều Khúc, Thanh Xuân ngay đường Nguyễn Trãi đi vào vài bước chân, gần trường Đại học Công Nghệ Giao Thông Vận Tải, tòa nhà mới. - Mặt bằng đã có sẵn, đang khai thác cho thuê từ năm 2021, với giá thuê 10 USD/m²/ tháng, khách full. Tỷ suất lợi nhuận khai th...",Đã có sổ,19/10/2023
Bán căn Shophouse Sunshine Riverside mặt đường 30m thông thoáng vị trí đẹp,21.0683576,105.8240984,"Tây Hồ, Hà Nội",150 m²,240 tr/m²,36 tỷ,Tây,liền kề,"Gia đình chị gái gửi bán căn Shophouse Sunshine Riverside - Phú Thượng - Tây Hồ - Hà Nội. DT 150m², MT 7,5m, có 1 hầm và 3,5 tầng nổi, bàn giao thô. Ai mua về đầu tư hay đều ở tốt. Vỉa hè rộng 5m thông thoáng để ở và kinh doanh đều được. Nằm mặt đường 30m đi lại thuận tiện thông giữa các khu với nhau. Lượng cư dân cao cấp, nếu mở văn phòng hay công ty, nhà hàng, trường mầm non. Giá bán: 36 tỷ VNĐ, sổ đỏ đầy đủ. LH 0988 154 *** Mr Hiệu Minh Việt Lan...",Đã có sổ,19/10/2023
"Chính chủ cần bán shophouse The Tera An Hưng mặt phố Tố Hữu diện tích 160m2, xây 08 tầng",20.9551855,105.758011,"Hà Đông, Hà Nội",160 m²,"265,62 tr/m²","42,5 tỷ",Tây Bắc,nhà mặt phố,"Chính chủ cần bán shophouse The Terra An Hưng mặt phố Tố Hữu. Diện tích 160m² xây dựng và thiết kế 08 tầng. Một mặt phố Tố Hữu và 1 mặt đường phía sau chia lô rộng 17m, căn nhà đã hoàn thiện toàn bộ nội thất xịn. Như thang máy nhập khẩu Nguyên chiếc, điều hoà âm Trần, hệ thống cửa và cầu thang gỗ lim. Vị trí đắc địa tập trung như ngân hàng, cafe, văn phòng công ty. Hiện tại nhà đang cho thuê là: 80tr / 1 tháng. Sổ đỏ chính chủ. Giá bán: 42.5 tỷ. ...",Đã có sổ,18/10/2023
"Bán 1.337.8m2 sàn tầng 4 Mỹ Đình cho thuê bể bơi, gym, yoga thu 2,4tỷ/năm giá 3x tỷ lh 0975 888 ***",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội","1.337,8 m²","26,01 tr/m²","34,8 tỷ",Tây Bắc,liền kề,,Đã có sổ,18/10/2023
"Bán sàn thương mại, văn phòng 1000 m2 tầng 1 tại Nguyễn Huy Tưởng, giá 49 triệu/m2",20.9944171,105.8171316,"Thanh Xuân, Hà Nội",1.000 m²,49 tr/m²,49 tỷ,Đông Bắc,nhà mặt phố,,Đã có sổ,18/10/2023
Chủ cắt lỗ 30 %! Bán căn shophouse kinh doanh sầm uất tại trung tâm quận Gia Lâm. LH: 0987 494 ***,21.0398766,105.9511964,"Gia Lâm, Hà Nội",90 m²,150 tr/m²,"13,5 tỷ",Đông,shophouse,,Đã có sổ,18/10/2023
"Bán kiot chính chủ tầng 4 toà 32T Golden An Khánh dt 113.4m 2tầng vừa, vừa kinh doanh. Sổ vĩnh viễn",21.0229169,105.7034832,"Hoài Đức, Hà Nội","113,4 m²",28 tr/m²,"3,18 tỷ",Tây Nam,nhà riêng,,Đã có sổ,18/10/2023
"Tôi cần bán gấp kiot 60,8m2 toà 18T1 Golden An Khánh, sổ hồng vĩnh viễn giá 2,6x tỷ",21.0229169,105.7034832,"Hoài Đức, Hà Nội","60,8 m²","44,08 tr/m²","2,68 tỷ",Tây Bắc,shophouse,,Đã có sổ,18/10/2023
"Bán shop khối đế Heritage West lake Lạc Long Quân 298m2, 5 tầng, giá trực tiếp CĐT Capitaland 58tr",21.0683576,105.8240984,"Tây Hồ, Hà Nội",298 m²,"57,99 tr/m²","17,28 tỷ",Tây Bắc,nhà riêng,,Đã có sổ,18/10/2023
"Chính chủ bán Shophouse Rue De Charme 214 Nguyễn Xiển, 93m2, chỉ 28 tỷ, đường 30 mét",105.7801644,105.8360327,"Thanh Trì, Hà Nội",93 m²,"301,08 tr/m²",28 tỷ,Tây Nam,shophouse,,Đã có sổ,17/10/2023
"Bán shophouse lô góc 3 mặt đường, MT 25m, mặt đường đôi góc ngã 3 sầm uất, trục chính, vị trí đẹp",21.0683576,105.8240984,"Tây Hồ, Hà Nội",324 m²,440 tr/m²,"142,56 tỷ",Tây Nam,nhà mặt phố,,Đã có sổ,17/10/2023
"Bán sàn văn phòng tầng 1 tòa Rivera Park 69 Vũ Trọng Phụng, DT 965m2, sổ đỏ 42 năm. Giá 50tr/m2",20.9944171,105.8171316,"Thanh Xuân, Hà Nội",965 m²,50 tr/m²,"48,25 tỷ",Đông,căn hộ chung cư,,Đã có sổ,17/10/2023
Cơ hội sở hữu liền kề Shophouse đắc địa với giá cực sốc chỉ 10.7 tỷ sở hữu lâu dài kinh doanh tốt,21.0398766,105.9511964,"Gia Lâm, Hà Nội","67,5 m²","162,96 tr/m²",11 tỷ,Đông Bắc,nhà riêng,,Đã có sổ,16/10/2023
"Bán Shophouse Vinhomes SkyLake Phạm Hùng đang cho siêu thị Kmart thuê 1,4 tỷ/Năm: 0912 132 ***",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",160 m²,"109,38 tr/m²","17,5 tỷ",Đông Bắc,shophouse,,Đã có sổ,16/10/2023
"Chính chủ cần tiền bán gấp shop chân đế Vinhomes Ocean Park diện tích 72 m2, giá 4,6 tỷ: 0912 132 ***",21.0398766,105.9511964,"Gia Lâm, Hà Nội",72 m²,"63,89 tr/m²","4,6 tỷ",Tây,liền kề,,Đã có sổ,16/10/2023
Chính chủ cần bán gấp shophouse Vinhomes Royal city diện tích 95 m2 giá 10 tỷ: 0912 132 ***,20.9944171,105.8171316,"Thanh Xuân, Hà Nội",95 m²,"105,26 tr/m²",10 tỷ,Tây Nam,nhà mặt phố,,Đã có sổ,16/10/2023
Cập nhật quỹ căn Shophouse đang bán tại Vinhomes Times City Park Hill T11/2023: 0986 122 ***,21.0064704,105.8578519,"Hai Bà Trưng, Hà Nội",140 m²,"113,57 tr/m²","15,9 tỷ",Đông Bắc,nhà mặt phố,,Đã có sổ,16/10/2023
"Chính chủ cần bán gấp shophouse chân đế Vinhomes Skylake Phạm Hùng diện tích 276 m2, giá 22 tỷ",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",276 m²,"79,71 tr/m²",22 tỷ,Tây,liền kề,,Đã có sổ,16/10/2023
"Giảm giá 2 tỷ tặng nội thất 4 tỷ bán nhanh căn shophouse La Casta Văn Phú, Hà Đông LH: 0904 588 ***",20.9551855,105.758011,"Hà Đông, Hà Nội",85 m²,"211,76 tr/m²",18 tỷ,Tây Nam,shophouse,,Đã có sổ,16/10/2023
"Bán nhà thương mại mặt phố Bùi Thiện Ngộ đô thị Việt Hưng, Long Biên",21.0359662,105.9021921,"Long Biên, Hà Nội",120 m²,43.23 tr/m²,Giá thỏa thuận,Đông,nhà riêng,,Đã có sổ,16/10/2023
Bán sàn thương mại dịch vụ Linh Đàm giá: 31 tr/m2. LH 0966 824 ***,20.9757581,105.8626556,"Hoàng Mai, Hà Nội",2.383 m²,31 tr/m²,"73,87 tỷ",Đông,nhà mặt phố,,Đã có sổ,16/10/2023
"* Quỹ vip ngoại giao*. Dự án S - Downtown HDB Phan Trọng Tuệ, Thanh Trì, Hà Nội",105.7801644,105.8360327,"Thanh Trì, Hà Nội",75 m²,"66,9 tr/m²","5,02 tỷ",Tây Bắc,nhà mặt phố,,Đã có sổ,16/10/2023
"Bán sàn văn phòng đã setup cơ bản kinh doanh luôn trung tâm Q. Thanh Xuân - sổ lâu dài - chỉ 3,x tỷ",20.9944171,105.8171316,"Thanh Xuân, Hà Nội",70 m²,"48,57 tr/m²","3,4 tỷ",Tây Bắc,nhà mặt phố,,Đã có sổ,16/10/2023
"Bán 1.338m2 sàn TM làm bể bơi và phòng gym 3x tỷ thu 2,68tỷ/năm LH 0975 888 ***",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",1.338 m²,"22,42 tr/m²",30 tỷ,Tây Bắc,căn hộ chung cư,,Đã có sổ,15/10/2023
"Bán lề kề Ngân Hà Vạn Phú TSQ trục chính giá rẻ, LH 0979 008 ***",20.9551855,105.758011,"Hà Đông, Hà Nội",91 m²,75 tr/m²,Giá thỏa thuận,Tây Nam,shophouse,,Đã có sổ,15/10/2023
"Bán căn biệt thự song lập đối diện Vincom vị trí siêu đẹp, giá tốt LH: 0986 648 ***",21.0398766,105.9511964,"Gia Lâm, Hà Nội",150 m²,55 tr/m²,Giá thỏa thuận,Tây Bắc,liền kề,,Đã có sổ,15/10/2023
"Căn góc VIP nhất Him Lam cần bán, sổ đỏ sẵn sàng sang tên, LH 0979 008 ***",20.9551855,105.758011,"Hà Đông, Hà Nội",104 m²,77 tr/m²,Giá thỏa thuận,Đông,nhà riêng,,Đã có sổ,15/10/2023
"Căn góc Him Lam Vạn Phúc vị trí đẹp, giá cắt lỗ, LH 0979 008 ***",20.9551855,105.758011,"Hà Đông, Hà Nội",104 m²,"389,42 tr/m²","40,5 tỷ",Đông Bắc,nhà riêng,,Đã có sổ,15/10/2023
"Bán căn giá rẻ nhất dãy ATT1 ATT2 Him Lam mặt Simco, LH 0979 008 ***",20.9551855,105.758011,"Hà Đông, Hà Nội",100 m²,180 tr/m²,18 tỷ,Tây Nam,shophouse,,Đã có sổ,15/10/2023
"Bán cặp 2 căn Him Lam Vạn Phúc vị trí đẹp giá rẻ, Lh 0979 008 ***",20.9551855,105.758011,"Hà Đông, Hà Nội",91 m²,63 tr/m²,Giá thỏa thuận,Đông,căn hộ chung cư,,Đã có sổ,15/10/2023
"Bán shophouse Tứ Hiệp, 65m2, 5 tầng, mặt tiền rộng, KD đỉnh, LH 0868 930 ***",105.7801644,105.8360327,"Thanh Trì, Hà Nội",65 m²,"215,38 tr/m²",14 tỷ,Tây,nhà mặt phố,,Đã có sổ,15/10/2023
"Bán nhanh shophouse SH16, 5 tầng sổ lâu dài, cạnh 60 tòa chung cư giá 12,5 tỷ BP, VHOP1",21.0398766,105.9511964,"Gia Lâm, Hà Nội",60 m²,"208,33 tr/m²","12,5 tỷ",Đông,shophouse,,Đã có sổ,15/10/2023
"Bán Shophouse, sàn văn phòng office tầng 1,3,4 dự án Iris Garden Trần Hữu Dực, Mỹ Đình giá từ 3 tỷ",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",70 m²,"42,86 tr/m²",3 tỷ,Tây,nhà mặt phố,,Đã có sổ,15/10/2023
"Bán Shophouse, sàn văn phòng dự án Iris Garden Trần Hữu Dực Mỹ Đình, 66, 85, 100m2 giá từ 2,8 tỷ",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",100 m²,40 tr/m²,4 tỷ,Tây Bắc,căn hộ chung cư,,Đã có sổ,15/10/2023
Cần chuyển nhượng chân đế tòa Vinhomes West Point - Đỗ Đức Dục - 70m2 giá tốt nhất thị trường 8 tỷ,21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",70 m²,"114,29 tr/m²",8 tỷ,Đông Bắc,shophouse,,Đã có sổ,15/10/2023
Bán căn Shophouse 5 tầng DT 93m2 giá rẻ vô địch tại Vinhomes Gardenia - Hàm Nghi,21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",93 m²,75 tr/m²,Giá thỏa thuận,Tây Bắc,shophouse,,Đã có sổ,15/10/2023
Duy nhất căn SH khối đế Imperia Smart City - có cam kết thuê lại - ngay trục đại lộ 52m,21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",54 m²,55 tr/m²,Giá thỏa thuận,Tây,liền kề,,Đã có sổ,14/10/2023
"Cập nhật quỹ căn shophouse chân đế đang bán tại Vinhomes Smart City T11/2023, LH 0986 122 ***",21.0173512,105.7613329,"Nam Từ Liêm, Hà Nội",96 m²,"78,12 tr/m²","7,5 tỷ",Tây Nam,nhà mặt phố,,Đã có sổ,14/10/2023
Chủ nhà cần bán shophouse 70m2 mặt đường 52m sổ đỏ lâu dài Vinhomes Ocean Park Gia Lâm Hà Nội,21.0398766,105.9511964,"Gia Lâm, Hà Nội",70 m²,"222,86 tr/m²","15,6 tỷ",Tây Nam,shophouse,,Đã có sổ,14/10/2023
"Chính chủ bán gấp căn shophouse 75m2, view cv cực đẹp. Giá 23,5 tỷ. LH: 0986 786 ***",20.9757581,105.8626556,"Hoàng Mai, Hà Nội",75 m²,"313,33 tr/m²","23,5 tỷ",Tây Bắc,liền kề,,Đã có sổ,14/10/2023
Cần bán shophouse Gamuda. Đang cho thuê. Giá 26 tỷ,20.9757581,105.8626556,"Hoàng Mai, Hà Nội",132 m²,"196,97 tr/m²",26 tỷ,Tây Bắc,shophouse,,Đã có sổ,14/10/2023
